Indicador,Unidade
Consumo mensal de Energia Elétrica,115 KW
Proporção de Energia elétrica consumida do Mercado Livre,"46,7%"
Proporção de Energia elétrica consumida do Mercado Cativo,"53,3%"
Peso total de resíduos sólidos produzidos,3.950Kg
Gravimetrida dos resíduos sólidos (Orgânicos e rejeitos),1.263 kg
Gravimetrida dos resíduos sólidos (Papel/Papelão),1.841kg
Gravimetrida dos resíduos sólidos (Plástico),257kg
Gravimetrida dos resíduos sólidos (Metais),72 kg
Gravimetrida dos resíduos sólidos (Eletrônicos),505kg
Gravimetrida dos resíduos sólidos (Pilhas e baterias),12kg
Proporção de Resíduos destinados ao aterro,32%
Proporção de resíduos destindos à reciclagem,68%
Consumo Mensal de Água,44m³
Proporção da água tratada que é consumida,100%
Consumo mensal de combustível,"442,9L"
Qualidade do ar no ambiente de trabalho,
Resíduos Eletrônicos,
Pilhas,
